epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3065.89,0.30187,0.23853,0.84585,0.99703,1,0.995,0.98924,0.19012,0.16306,0.76458,0.000821206,0.000821206,0.000821206
43,3140.87,0.29511,0.23635,0.84545,0.99718,0.99847,0.995,0.9869,0.19488,0.16358,0.75595,0.000800577,0.000800577,0.000800577
44,3216.82,0.29606,0.23321,0.84723,0.99918,0.99935,0.995,0.98604,0.19342,0.15608,0.7557,0.000779948,0.000779948,0.000779948
45,3291.48,0.29686,0.23103,0.84632,0.99256,0.99949,0.99495,0.98586,0.19124,0.15665,0.75396,0.000759318,0.000759318,0.000759318
46,3366.26,0.30047,0.23385,0.84287,0.99812,0.99701,0.995,0.98585,0.19171,0.15553,0.74891,0.000738689,0.000738689,0.000738689
47,3441.01,0.29017,0.22724,0.84975,0.99903,0.9993,0.995,0.98662,0.19061,0.16187,0.76399,0.00071806,0.00071806,0.00071806
48,3515.72,0.28884,0.22708,0.84659,0.99953,0.99722,0.995,0.98497,0.19085,0.15574,0.74874,0.000697431,0.000697431,0.000697431
49,3591.4,0.28478,0.22714,0.84044,0.99566,1,0.99497,0.98895,0.17236,0.14863,0.74565,0.000676802,0.000676802,0.000676802
50,3666.28,0.27603,0.21925,0.83866,0.99857,1,0.995,0.98976,0.18602,0.15587,0.75789,0.000656173,0.000656173,0.000656173
51,3725.9,0.27995,0.21969,0.84267,0.99901,0.99892,0.995,0.98928,0.17989,0.14472,0.74632,0.000635544,0.000635544,0.000635544
52,3808.13,0.2731,0.21696,0.83969,0.99875,0.99992,0.995,0.98801,0.17189,0.14509,0.74682,0.000614915,0.000614915,0.000614915
53,3886.43,0.26868,0.21381,0.83872,0.99964,1,0.995,0.98527,0.18181,0.14419,0.75107,0.000594286,0.000594286,0.000594286
54,3965.19,0.27799,0.21812,0.83441,0.9985,1,0.995,0.98612,0.17563,0.13912,0.74475,0.000573656,0.000573656,0.000573656
55,4040.25,0.27488,0.21391,0.84062,0.99911,0.99722,0.995,0.98697,0.17127,0.13787,0.74483,0.000553027,0.000553027,0.000553027
56,4119.55,0.26297,0.20764,0.83407,0.99612,0.99978,0.99497,0.98832,0.17485,0.13987,0.7497,0.000532398,0.000532398,0.000532398
57,4200.61,0.2606,0.20881,0.83331,0.99928,1,0.995,0.98711,0.17679,0.13411,0.74802,0.000511769,0.000511769,0.000511769
58,4278.5,0.26133,0.20203,0.83729,0.99662,0.99722,0.99497,0.98697,0.17074,0.13914,0.74634,0.00049114,0.00049114,0.00049114
59,4355.09,0.25995,0.20374,0.83265,0.99689,1,0.995,0.98998,0.17303,0.13563,0.74384,0.000470511,0.000470511,0.000470511
60,4432.18,0.25681,0.20272,0.83362,0.99825,1,0.995,0.9882,0.16673,0.13359,0.74642,0.000449882,0.000449882,0.000449882
61,4509.03,0.2534,0.19719,0.83551,0.99927,1,0.995,0.98922,0.16372,0.13441,0.75515,0.000429253,0.000429253,0.000429253
62,4586.17,0.25244,0.1985,0.83833,0.99947,0.99722,0.995,0.9903,0.16569,0.1289,0.74552,0.000408623,0.000408623,0.000408623
63,4665.71,0.25265,0.19557,0.83217,0.99933,1,0.995,0.98964,0.1581,0.1287,0.74326,0.000387994,0.000387994,0.000387994
64,4743.19,0.24837,0.19526,0.83259,0.99945,1,0.995,0.98973,0.1637,0.12682,0.74469,0.000367365,0.000367365,0.000367365
65,4819.11,0.24785,0.19084,0.8292,0.99951,1,0.995,0.99011,0.16241,0.12616,0.74683,0.000346736,0.000346736,0.000346736
66,4897.27,0.24655,0.19241,0.83234,0.99943,1,0.995,0.99024,0.15801,0.12403,0.74441,0.000326107,0.000326107,0.000326107
67,4971.55,0.24286,0.19056,0.8318,0.99952,1,0.995,0.99227,0.15721,0.12376,0.74561,0.000305478,0.000305478,0.000305478
68,5048.29,0.23905,0.184,0.82736,0.99949,1,0.995,0.99098,0.16301,0.12543,0.74688,0.000284849,0.000284849,0.000284849
69,5126.57,0.23619,0.18545,0.8303,0.99939,1,0.995,0.99096,0.15919,0.12185,0.75271,0.00026422,0.00026422,0.00026422
70,5203.9,0.23187,0.18289,0.83079,0.99884,0.99983,0.995,0.99094,0.15904,0.12047,0.75039,0.00024359,0.00024359,0.00024359
71,5279.1,0.19685,0.15487,0.80422,0.9979,0.99981,0.995,0.98957,0.15753,0.12183,0.74467,0.000222961,0.000222961,0.000222961
72,5353.52,0.19773,0.15316,0.8054,0.99974,1,0.995,0.98997,0.15784,0.12078,0.74833,0.000202332,0.000202332,0.000202332
73,5429.49,0.19168,0.14816,0.80167,0.99872,0.99986,0.995,0.99221,0.15542,0.12129,0.74596,0.000181703,0.000181703,0.000181703
74,5503.46,0.18811,0.14431,0.79721,0.99966,1,0.995,0.99075,0.16287,0.1232,0.74724,0.000161074,0.000161074,0.000161074
75,5579.15,0.18594,0.1422,0.79801,0.99964,0.99972,0.995,0.99069,0.1551,0.11829,0.74454,0.000140445,0.000140445,0.000140445
76,5653.64,0.18657,0.1444,0.80104,0.99952,1,0.995,0.99202,0.15365,0.11744,0.74202,0.000119816,0.000119816,0.000119816
77,5728.85,0.184,0.14216,0.80021,0.99913,1,0.995,0.99155,0.15785,0.1182,0.74499,9.91865e-05,9.91865e-05,9.91865e-05
78,5804.45,0.18298,0.14162,0.80412,0.99906,1,0.995,0.99086,0.15241,0.1128,0.74467,7.85574e-05,7.85574e-05,7.85574e-05
79,5878.07,0.17934,0.13614,0.80187,0.99921,1,0.995,0.9913,0.15149,0.10968,0.74306,5.79283e-05,5.79283e-05,5.79283e-05
80,5952.68,0.17678,0.13475,0.7971,0.99928,1,0.995,0.99134,0.15123,0.10875,0.74371,3.72991e-05,3.72991e-05,3.72991e-05
